EventID,Timestamp,Source,Message
4625,2026-09-21 07:47:14,SERVER01,Account Name: manager1 | Source Network Address: 192.168.77.58 | Reason: Password Expired | Logon Type: 3
4625,2026-09-21 00:41:41,DC2,Account Name: john.doe | Source Network Address: 192.168.152.172 | Reason: Incorrect Password | Logon Type: 3
4625,2026-09-20 22:04:10,SERVER01,Account Name: admin | Source Network Address: 192.168.88.145 | Reason: Incorrect Password | Logon Type: 3
4625,2026-09-21 19:18:55,DC3,Account Name: john.doe | Source Network Address: 192.168.69.233 | Reason: Account Locked Out | Logon Type: 3
4625,2026-09-21 17:36:41,SERVER02,Account Name: admin | Source Network Address: 192.168.39.129 | Reason: Password Expired | Logon Type: 3
4625,2026-09-22 13:15:58,SERVER01,Account Name: admin | Source Network Address: 192.168.33.114 | Reason: Account Locked Out | Logon Type: 3
4625,2026-09-21 04:42:26,SERVER02,Account Name: jane.smith | Source Network Address: 192.168.46.21 | Reason: Account Locked Out | Logon Type: 3
4624,2026-09-22 13:00:27,SERVER01,Account Name: dba_user | Source Network Address: 192.168.39.177 | Successful Logon | Logon Type: 3
4625,2026-09-20 21:08:22,DC1,Account Name: service_account | Source Network Address: 192.168.143.28 | Reason: Account Disabled | Logon Type: 3
4625,2026-09-21 02:30:48,EXCHANGE01,Account Name: john.doe | Source Network Address: 192.168.243.32 | Reason: Password Expired | Logon Type: 3
4625,2026-09-21 10:00:05,SERVER01,Account Name: john.doe | Source Network Address: 192.168.79.185 | Reason: Account Disabled | Logon Type: 3
4625,2026-09-21 09:45:09,EXCHANGE01,Account Name: alice.williams | Source Network Address: 192.168.232.67 | Reason: Logon Type Not Allowed | Logon Type: 3
4625,2026-09-22 14:12:42,EXCHANGE01,Account Name: john.doe | Source Network Address: 192.168.132.58 | Reason: Incorrect Password | Logon Type: 3
4625,2026-09-21 22:34:11,WORKSTATION02,Account Name: backup_user | Source Network Address: 192.168.119.8 | Reason: Account Locked Out | Logon Type: 3
4624,2026-09-20 22:54:06,DC3,Account Name: test_user | Source Network Address: 192.168.103.109 | Successful Logon | Logon Type: 3
4625,2026-09-21 20:55:59,DC2,Account Name: admin | Source Network Address: 192.168.93.41 | Reason: Incorrect Password | Logon Type: 3
4625,2026-09-21 14:57:49,DC3,Account Name: admin | Source Network Address: 192.168.171.28 | Reason: Logon Type Not Allowed | Logon Type: 3
4625,2026-09-21 18:54:55,EXCHANGE01,Account Name: admin | Source Network Address: 192.168.55.153 | Reason: Incorrect Password | Logon Type: 3
4625,2026-09-22 14:09:27,EXCHANGE01,Account Name: john.doe | Source Network Address: 192.168.14.42 | Reason: Password Expired | Logon Type: 3
4625,2026-09-20 20:19:07,DC2,Account Name: john.doe | Source Network Address: 192.168.115.220 | Reason: Account Disabled | Logon Type: 3
4625,2026-09-21 05:01:18,DC1,Account Name: service_account | Source Network Address: 192.168.98.21 | Reason: Account Locked Out | Logon Type: 3
4625,2026-09-22 16:09:55,DC3,Account Name: service_account | Source Network Address: 192.168.206.13 | Reason: Password Expired | Logon Type: 3
4625,2026-09-22 07:29:13,SERVER02,Account Name: admin | Source Network Address: 192.168.13.211 | Reason: Incorrect Password | Logon Type: 3
4624,2026-09-21 07:00:24,SERVER01,Account Name: jane.smith | Source Network Address: 192.168.203.233 | Successful Logon | Logon Type: 3
4625,2026-09-22 04:51:12,DC3,Account Name: admin | Source Network Address: 192.168.182.127 | Reason: Logon Type Not Allowed | Logon Type: 3
4625,2026-09-21 20:13:01,DC1,Account Name: service_account | Source Network Address: 192.168.246.251 | Reason: Password Expired | Logon Type: 3
4625,2026-09-21 01:26:04,DC3,Account Name: service_account | Source Network Address: 192.168.82.152 | Reason: Logon Type Not Allowed | Logon Type: 3
4625,2026-09-22 10:22:14,DC3,Account Name: backup_user | Source Network Address: 192.168.26.89 | Reason: Password Expired | Logon Type: 3
4625,2026-09-22 09:37:46,DC2,Account Name: test_user | Source Network Address: 192.168.82.44 | Reason: Account Disabled | Logon Type: 3
4624,2026-09-21 14:06:28,DC2,Account Name: carlos.lopez | Source Network Address: 192.168.162.39 | Successful Logon | Logon Type: 3
4625,2026-09-22 03:45:00,WORKSTATION01,Account Name: john.doe | Source Network Address: 192.168.77.146 | Reason: Account Locked Out | Logon Type: 3
4625,2026-09-21 00:56:49,DC3,Account Name: dba_user | Source Network Address: 192.168.185.33 | Reason: Account Disabled | Logon Type: 3
4625,2026-09-22 03:51:41,DC3,Account Name: test_user | Source Network Address: 192.168.201.121 | Reason: Logon Type Not Allowed | Logon Type: 3
4625,2026-09-22 15:57:02,DC1,Account Name: service_account | Source Network Address: 192.168.163.30 | Reason: Account Disabled | Logon Type: 3
4624,2026-09-21 04:24:30,EXCHANGE01,Account Name: alice.williams | Source Network Address: 192.168.171.113 | Successful Logon | Logon Type: 3
4625,2026-09-22 09:53:39,EXCHANGE01,Account Name: admin | Source Network Address: 192.168.135.23 | Reason: Account Locked Out | Logon Type: 3
4624,2026-09-22 02:45:19,DC1,Account Name: test_user | Source Network Address: 192.168.146.85 | Successful Logon | Logon Type: 3
4625,2026-09-21 20:35:45,SERVER01,Account Name: admin | Source Network Address: 192.168.161.36 | Reason: Account Disabled | Logon Type: 3
4624,2026-09-22 16:18:01,WORKSTATION02,Account Name: service_account | Source Network Address: 192.168.59.216 | Successful Logon | Logon Type: 3
4625,2026-09-21 18:46:27,DC1,Account Name: john.doe | Source Network Address: 192.168.153.172 | Reason: Password Expired | Logon Type: 3
4624,2026-09-20 22:19:46,WORKSTATION02,Account Name: backup_user | Source Network Address: 192.168.29.54 | Successful Logon | Logon Type: 3
4625,2026-09-21 16:20:48,SERVER01,Account Name: john.doe | Source Network Address: 192.168.236.47 | Reason: Incorrect Password | Logon Type: 3
4625,2026-09-22 05:03:43,DC1,Account Name: dba_user | Source Network Address: 192.168.218.89 | Reason: Account Locked Out | Logon Type: 3
4625,2026-09-22 13:18:23,SERVER02,Account Name: admin | Source Network Address: 192.168.120.240 | Reason: Incorrect Password | Logon Type: 3
4625,2026-09-22 12:35:41,DC2,Account Name: admin | Source Network Address: 192.168.79.173 | Reason: Logon Type Not Allowed | Logon Type: 3
4624,2026-09-21 12:47:53,WORKSTATION02,Account Name: dba_user | Source Network Address: 192.168.183.90 | Successful Logon | Logon Type: 3
4625,2026-09-21 07:37:08,DC2,Account Name: admin | Source Network Address: 192.168.118.83 | Reason: Logon Type Not Allowed | Logon Type: 3
4625,2026-09-22 06:33:19,WORKSTATION01,Account Name: service_account | Source Network Address: 192.168.157.30 | Reason: Password Expired | Logon Type: 3
4624,2026-09-21 19:49:44,DC1,Account Name: john.doe | Source Network Address: 192.168.107.4 | Successful Logon | Logon Type: 3
4625,2026-09-21 19:05:45,EXCHANGE01,Account Name: admin | Source Network Address: 192.168.139.139 | Reason: Account Disabled | Logon Type: 3
4625,2026-09-22 08:41:40,DC1,Account Name: john.doe | Source Network Address: 192.168.49.41 | Reason: Logon Type Not Allowed | Logon Type: 3
4625,2026-09-22 15:21:18,SERVER01,Account Name: bob.johnson | Source Network Address: 192.168.93.248 | Reason: Password Expired | Logon Type: 3
4625,2026-09-22 04:50:14,DC3,Account Name: test_user | Source Network Address: 192.168.166.40 | Reason: Account Disabled | Logon Type: 3
4625,2026-09-22 17:24:10,DC2,Account Name: john.doe | Source Network Address: 192.168.125.106 | Reason: Account Locked Out | Logon Type: 3
